"FriendlyName","InstanceId"
"Microsoft ACPI-Kontrollmethodenkompatibler Akku","ACPI\PNP0C0A\0"
"ACPI-Deckel","ACPI\PNP0C0D\2&DABA3FF&0"
"ACPI-Energiezustandknopf","ACPI\PNP0C0E\2&DABA3FF&0"
"Microsoft Windows-Verwaltungsschnittstelle f?r ACPI","ACPI\PNP0C14\1"
"Microsoft Windows-Verwaltungsschnittstelle f?r ACPI","ACPI\PNP0C14\2"
"Microsoft Windows-Verwaltungsschnittstelle f?r ACPI","ACPI\PNP0C14\3"
"Microsoft Windows-Verwaltungsschnittstelle f?r ACPI","ACPI\PNP0C14\4"
"Microsoft Windows-Verwaltungsschnittstelle f?r ACPI","ACPI\PNP0C14\SAMPLEDEV"
"Microsoft Windows-Verwaltungsschnittstelle f?r ACPI","ACPI\PNP0C14\TBFP"
"Microsoft Windows-Verwaltungsschnittstelle f?r ACPI","ACPI\PNP0C14\TESTDEV"
"Trusted Platform Module 2.0","ACPI\STM7364\2&DABA3FF&0"
"ACPI-Thermozone","ACPI\THERMALZONE\THM0"
"UCM-UCSI ACPI-Ger?t","ACPI\USBC000\0"
"Microsoft ACPI-konformes System","ACPI_HAL\PNP0C08\0"
"Microsoft UEFI-konformes System","ACPI_HAL\UEFI\0"
"Wide viewing angle & High density FlexView Display 3840x2160","DISPLAY\LEN4124\4&3605A4C0&0&UID265988"
"Generic Monitor (SyncMaster)","DISPLAY\SAM0587\5&34452F&1&UID4352"
"Generic Monitor (SyncMaster)","DISPLAY\SAM0587\5&34452F&1&UID4354"
"ETD HSA Device","ETDHSA\VID_04F3&PID_0001\5&3A7069A5&0&0002"
"ELAN Miniport PTP Driver","ETDMINIPTP\VID_04F3&PID_0000\5&3A7069A5&0&0001"
"NVIDIA High Definition Audio","HDAUDIO\FUNC_01&VEN_10DE&DEV_0092&SUBSYS_17AA229B&REV_1001\5&3546B514&0&0001"
"HID-Tastatur","HID\VID_046A&PID_0023&MI_00\8&10F111A7&0&0000"
"HID-konformes Benutzersteuerger?t","HID\VID_046A&PID_0023&MI_01&COL01\8&34C84F69&0&0000"
"HID-konformer Systemcontroller","HID\VID_046A&PID_0023&MI_01&COL02\8&34C84F69&0&0001"
"HID-konforme Maus","HID\VID_046D&PID_C050\7&14E0A6B&1&0000"
"HID-konforme Maus","HID\VID_04F3&PID_0000&COL01\6&318363C8&0&0000"
"HID-kompatibles Touchpad","HID\VID_04F3&PID_0000&COL02\6&318363C8&0&0001"
"Microsoft Input Configuration Device","HID\VID_04F3&PID_0000&COL03\6&318363C8&0&0002"
,"HTREE\ROOT\0"
"Intel(R) Smart Sound Technologie-OED","INTELAUDIO\DSP_CTLR_DEV_A348&VEN_8086&DEV_0222&SUBSYS_229B17AA&REV_0010\4&1F46C59&0&0800"
"Synaptics Audio","INTELAUDIO\FUNC_01&VEN_14F1&DEV_1F86&SUBSYS_17AA229B&REV_1001\4&1F46C59&0&0001"
"Intel(R) Display-Audio","INTELAUDIO\FUNC_01&VEN_8086&DEV_280B&SUBSYS_80860101&REV_1000\4&1F46C59&0&0201"
"High Definition Audio-Controller","PCI\VEN_10DE&DEV_10F8&SUBSYS_229B17AA&REV_A1\4&25AB71B&0&0108"
"NVIDIA USB 3.10 eXtensible-Hostcontroller ? 1.10 (Microsoft)","PCI\VEN_10DE&DEV_1AD8&SUBSYS_229B17AA&REV_A1\4&25AB71B&0&0208"
"NVIDIA USB Type-C Port Policy Controller","PCI\VEN_10DE&DEV_1AD9&SUBSYS_229B17AA&REV_A1\4&25AB71B&0&0308"
"NVIDIA Quadro RTX 4000","PCI\VEN_10DE&DEV_1EB6&SUBSYS_229B17AA&REV_A1\4&25AB71B&0&0008"
"Realtek PCIE CardReader","PCI\VEN_10EC&DEV_525A&SUBSYS_525A10EC&REV_01\00000001004CE00000"
"Standardm??iger NVM Express-Controller","PCI\VEN_144D&DEV_A80C&SUBSYS_A801144D&REV_00\4&283283DD&0&00E8"
"Intel(R) Ethernet Connection (7) I219-LM","PCI\VEN_8086&DEV_15BB&SUBSYS_229717AA&REV_10\3&11583659&0&FE"
"Downstream-Switchport f?r PCI-Express","PCI\VEN_8086&DEV_15EA&SUBSYS_229B17AA&REV_06\5EE841800500AA0000"
"Downstream-Switchport f?r PCI-Express","PCI\VEN_8086&DEV_15EA&SUBSYS_229B17AA&REV_06\5EE841800500AA0008"
"Downstream-Switchport f?r PCI-Express","PCI\VEN_8086&DEV_15EA&SUBSYS_229B17AA&REV_06\5EE841800500AA0010"
"Downstream-Switchport f?r PCI-Express","PCI\VEN_8086&DEV_15EA&SUBSYS_229B17AA&REV_06\5EE841800500AA0020"
"Upstream-Switchport f?r PCI-Express","PCI\VEN_8086&DEV_15EA&SUBSYS_229B17AA&REV_06\U5EE841800500AA0000"
"Thunderbolt(TM) Controller - 15EB","PCI\VEN_8086&DEV_15EB&SUBSYS_229B17AA&REV_06\5EE841800500AA0000"
"Intel(R) USB 3.1 eXtensible-Hostcontroller ? 1.10 (Microsoft)","PCI\VEN_8086&DEV_15EC&SUBSYS_229B17AA&REV_06\5EE841800500AA0000"
"Intel(R) PCIe Controller (x16) - 1901","PCI\VEN_8086&DEV_1901&SUBSYS_229B17AA&REV_0D\3&11583659&0&08"
"Intel(R) Dynamic Tuning Processor Participant","PCI\VEN_8086&DEV_1903&SUBSYS_229B17AA&REV_0D\3&11583659&0&20"
"Intel(R) Gaussian Mixture Model - 1911","PCI\VEN_8086&DEV_1911&SUBSYS_229B17AA&REV_00\3&11583659&0&40"
"Intel(R) Wi-Fi 6 AX200 160MHz","PCI\VEN_8086&DEV_2723&SUBSYS_00808086&REV_1A\4&2BAAD438&0&00E5"
"Intel(R) Host Bridge/DRAM Registers - 3E20","PCI\VEN_8086&DEV_3E20&SUBSYS_229B17AA&REV_0D\3&11583659&0&00"
"Intel(R) UHD Graphics 630","PCI\VEN_8086&DEV_3E9B&SUBSYS_229B17AA&REV_02\3&11583659&0&10"
"C240 Series Chipset Family LPC Controller (CM246) - A30E","PCI\VEN_8086&DEV_A30E&SUBSYS_229B17AA&REV_10\3&11583659&0&F8"
"ELAN SMBus Driver","PCI\VEN_8086&DEV_A323&SUBSYS_229B17AA&REV_10\3&11583659&0&FC"
"Intel(R) SPI (flash) Controller - A324","PCI\VEN_8086&DEV_A324&SUBSYS_229B17AA&REV_10\3&11583659&0&FD"
"Intel(R) LPSS: UART #0 - A328","PCI\VEN_8086&DEV_A328&SUBSYS_229B17AA&REV_10\3&11583659&0&F0"
"Intel(R) PCI Express Root Port #9 - A330","PCI\VEN_8086&DEV_A330&SUBSYS_229B17AA&REV_F0\3&11583659&0&E8"
"Intel(R) PCI Express Root Port #1 - A338","PCI\VEN_8086&DEV_A338&SUBSYS_229B17AA&REV_F0\3&11583659&0&E0"
"Intel(R) PCI Express Root Port #6 - A33D","PCI\VEN_8086&DEV_A33D&SUBSYS_229B17AA&REV_F0\3&11583659&0&E5"
"Intel(R) PCI Express Root Port #8 - A33F","PCI\VEN_8086&DEV_A33F&SUBSYS_229B17AA&REV_F0\3&11583659&0&E7"
"Intel(R) Smart Sound Technologie-Audiocontroller","PCI\VEN_8086&DEV_A348&SUBSYS_229B17AA&REV_10\3&11583659&0&FB"
"Intel(R) Management Engine Interface #1","PCI\VEN_8086&DEV_A360&SUBSYS_229B17AA&REV_10\3&11583659&0&B0"
"Intel(R)-I2C-Hostcontroller f?r serielle E/A ? A368","PCI\VEN_8086&DEV_A368&SUBSYS_229B17AA&REV_10\3&11583659&0&A8"
"Intel(R)-I2C-Hostcontroller f?r serielle E/A ? A369","PCI\VEN_8086&DEV_A369&SUBSYS_229B17AA&REV_10\3&11583659&0&A9"
"Intel(R) USB 3.1 eXtensible-Hostcontroller ? 1.10 (Microsoft)","PCI\VEN_8086&DEV_A36D&SUBSYS_229B17AA&REV_10\3&11583659&0&A0"
"PCI Standard-RAM-Controller","PCI\VEN_8086&DEV_A36F&SUBSYS_229B17AA&REV_10\3&11583659&0&A2"
"Intel(R) Thermal Subsystem - A379","PCI\VEN_8086&DEV_A379&SUBSYS_229B17AA&REV_10\3&11583659&0&90"
"ACPI x64-basierter PC","ROOT\ACPI_HAL\0000"
"Microsoft Basic Display Driver","ROOT\BASICDISPLAY\0000"
"Microsoft Basic Render Driver","ROOT\BASICRENDER\0000"
"CAD (Charging Arbitration Driver)","ROOT\CAD\0000"
"Busenumerator f?r Verbundger?te","ROOT\COMPOSITEBUS\0000"
"Iriun Webcam #2","ROOT\DEVGEN\{B30B708C-1928-0543-87DA-88006EDAF5C0}"
"Iriun Webcam","ROOT\DEVGEN\{BB9F5955-72CA-854E-8A3D-5AA436BD9F6B}"
"Microsoft-Hypervisor-Dienst","ROOT\HVSERVICE\0000"
"Brother MFC-L3750CDW LAN","ROOT\IMAGE\0000"
"Microsoft Kernel Debug Network Adapter","ROOT\KDNIC\0000"
"Iriun Webcam","ROOT\MEDIA\0000"
"Iriun Webcam #2","ROOT\MEDIA\0001"
"Microsoft-Systemverwaltungs-BIOS-Treiber","ROOT\MSSMBIOS\0000"
"Enumerator f?r virtuelle NDIS-Netzwerkadapter","ROOT\NDISVIRTUALBUS\0000"
"Redirector-Bus f?r Remotedesktop-Ger?t","ROOT\RDPBUS\0000"
"Microsoft-Controller f?r Speicherpl?tze","ROOT\SPACEPORT\0000"
"Microsoft Hyper-V-Server f?r virtuelle Datentr?ger","ROOT\STORVSP\0000"
"PnP-Softwareger?te-Enumerator","ROOT\SYSTEM\0000"
"Fn and function keys","ROOT\SYSTEM\0001"
"UMBus-Stamm-Busenumerator","ROOT\UMBUS\0000"
"Microsoft virtueller Datentr?gerenumerator","ROOT\VDRVROOT\0000"
"Microsoft Hyper-V-Virtualisierungsinfrastrukturtreiber","ROOT\VID\0000"
"VSP f?r die Microsoft Hyper-V NT-Kernel-Integration","ROOT\VKRNLINTVSP\0000"
"Microsoft Hyper-V - Busanbieter f?r virtuelle Computer","ROOT\VMBUS\0000"
"Hyper-V Virtual Switch Extension Adapter","ROOT\VMS_VSMP\0000"
"VMware Virtual Ethernet Adapter for VMnet1","ROOT\VMWARE\0000"
"VMware Virtual Ethernet Adapter for VMnet8","ROOT\VMWARE\0001"
"VMware VMCI Host Device","ROOT\VMWVMCIHOSTDEV\0000"
"Volume-Manager","ROOT\VOLMGR\0000"
"Microsoft Hyper-V-PCI-Server","ROOT\VPCIVSP\0000"
"Facial Recognition (Windows Hello) Software Device","ROOT\WINDOWSHELLOFACESOFTWAREDRIVER\0000"
"Samsung SSD 990 PRO 2TB","SCSI\DISK&VEN_NVME&PROD_SAMSUNG_SSD_990\5&1146A86C&0&000000"
"Volume","STORAGE\VOLUME\{D346A84B-DE92-11EF-958D-806E6F6E6963}#0000000000100000"
"Volume","STORAGE\VOLUME\{D346A84B-DE92-11EF-958D-806E6F6E6963}#0000000010502000"
"Volume","STORAGE\VOLUME\{D346A84B-DE92-11EF-958D-806E6F6E6963}#000000002F904000"
"Volume","STORAGE\VOLUME\{D346A84B-DE92-11EF-958D-806E6F6E6963}#000000C97CC00000"
"Volume","STORAGE\VOLUME\{D346A84B-DE92-11EF-958D-806E6F6E6963}#000000C9C77A2000"
"Standard-Volumeschattenkopie","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT1"
"Standard-Volumeschattenkopie","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT2"
"Standard-Volumeschattenkopie","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT3"
"Standard-Volumeschattenkopie","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT4"
"Standard-Volumeschattenkopie","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT5"
"Standard-Volumeschattenkopie","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT6"
"Standard-Volumeschattenkopie","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT7"
